Relative error as function of step size
log10(h): | epsilon general algorithm: | epsilon special algorithm: | N
-1.041393e+00 | 3.026200e-01 | 3.601314e-01 | 10^1
-2.004321e+00 | 3.426303e-02 | 4.249885e-02 | 10^2
-3.000434e+00 | 3.474750e-03 | 4.338587e-03 | 10^3
-4.000043e+00 | 3.479720e-04 | 4.347831e-04 | 10^4
-5.000004e+00 | 3.480179e-05 | 4.348760e-05 | 10^5
-6.000000e+00 | 4.210129e-06 | 4.348746e-06 | 10^6
-7.000000e+00 | 1.005169e-06 | 4.343971e-07 | 10^7
-8.000000e+00 | -1.140500e-03 | 3.765295e-08 | 10^8
